Galaxy,T,Q,N,chi2_ESD_fix,chi2_MOND_fix,delta_fix,rchi2_ESD_fix,rchi2_MOND_fix,Ud_ESD,Ub_ESD,chi2_ESD_grid,Ud_MOND,Ub_MOND,chi2_MOND_grid,delta_grid,rchi2_ESD_grid,rchi2_MOND_grid,WTL
NGC4559,6,1,32,434.80,444.02,-9.22,13.587,13.876,0.3,0.2,64.53,0.3,0.2,67.13,-2.60,2.082,2.166,W
NGC5005,4,1,18,10.45,9.78,0.67,0.580,0.543,0.5,0.5,2.48,0.5,0.5,2.50,-0.02,0.146,0.147,T
NGC5033,5,1,22,312.76,304.99,7.77,14.216,13.863,0.7,0.3,173.16,0.7,0.3,174.57,-1.41,8.246,8.313,W
NGC5055,4,1,28,21212.38,21568.51,-356.14,757.585,770.304,0.3,0.2,2434.43,0.3,0.2,2421.19,13.24,90.164,89.674,L
NGC5371,4,1,19,3209.90,3242.98,-33.08,168.942,170.683,0.3,0.2,980.13,0.3,0.2,988.26,-8.13,54.452,54.903,W
NGC5585,7,1,24,619.98,628.97,-8.99,25.832,26.207,0.3,0.2,172.99,0.3,0.2,171.68,1.31,7.521,7.464,L
NGC5907,5,1,19,617.99,637.59,-19.60,32.526,33.557,0.4,0.2,555.25,0.4,0.2,554.46,0.79,30.847,30.803,T
NGC5985,3,1,33,5333.30,5299.85,33.45,161.615,160.601,1.1,1.0,745.84,1.1,1.0,746.83,-0.99,23.308,23.338,T
NGC6015,6,2,44,1493.76,1483.28,10.48,33.949,33.711,0.7,0.2,664.33,0.7,0.2,673.49,-9.16,15.449,15.663,W
NGC6195,3,1,23,602.60,610.97,-8.38,26.200,26.564,0.2,0.7,46.66,0.2,0.7,48.10,-1.44,2.121,2.186,W
NGC6503,6,1,31,84.97,87.03,-2.06,2.741,2.807,0.5,0.7,84.97,0.5,0.7,87.03,-2.06,2.832,2.901,W
NGC6674,3,1,15,381.04,368.08,12.96,25.403,24.539,0.6,0.8,183.74,0.6,0.7,187.27,-3.53,13.124,13.376,W
NGC6789,11,2,4,24.61,24.46,0.15,6.151,6.115,1.5,0.2,6.26,1.5,0.2,6.22,0.03,2.086,2.074,T
NGC6946,6,1,58,1460.08,1487.42,-27.35,25.174,25.645,0.4,0.6,118.73,0.4,0.6,121.23,-2.50,2.083,2.127,W
NGC7331,3,1,36,1269.74,1289.87,-20.13,35.271,35.830,0.4,0.2,58.52,0.4,0.2,60.01,-1.49,1.672,1.715,W
